"ds-dex-table-row href","ds-dex-table-row-badge-pair-no","ds-dex-table-row-dex-icon src","ds-dex-table-row-token-icon-img src","ds-dex-table-row-badge","ds-dex-table-row-base-token-symbol","ds-dex-table-row-quote-token-symbol","ds-dex-table-row-base-token-name-text","ds-table-data-cell","ds-table-data-cell 2","ds-table-data-cell 3","ds-table-data-cell 4","ds-table-data-cell 5","ds-change-perc","ds-change-perc 2","ds-change-perc 3","ds-change-perc 4","ds-table-data-cell 6","ds-table-data-cell 7","ds-table-empty-val","chakra-text","chakra-text 2"
"https://dexscreener.com/pulsechain/0x27b2a4b13d89b8b0c77bd1c936b99fc9c834d64d","#152","https://dd.dexscreener.com/ds-data/dexes/9mm.png","https://cdn.dexscreener.com/cms/images/7b95c3c8cc915f0c09d268a02433efbf321d7b62689deec6ac802975526d1d3b?width=64&height=64&fit=crop&quality=95&format=auto","V3","INC","WPLS","Incentive","$0.6239","1y","17","$379","15","","","1.56%","1.80%","$15K","$34.7M","-","",""
"https://dexscreener.com/pulsechain/0x91ccf22538c30f09d14be27569c5bdb61f99b3c9","#153","https://dd.dexscreener.com/ds-data/dexes/pulsex.png","https://cdn.dexscreener.com/cms/images/89e58ad3b249a3ab36c000098457e4c5fdf721a377de7c8df0f1e7040e8b4ea6?width=64&height=64&fit=crop&quality=95&format=auto","v1","","WPLS","","","4mo","170","$2.0K","98","","13.35%","48.06%","44.01%","$12K","$67K","-","$0.06704","4"
"https://dexscreener.com/pulsechain/0xb7ee61bf8f2dddd5ed2ec81d1a6adb68f8d2e68f","#154","https://dd.dexscreener.com/ds-data/dexes/pulsex.png","https://cdn.dexscreener.com/cms/images/8b729370cc0269ea7f3e108c0c6524e50ef950cc0af33a524cf245c336477230?width=64&height=64&fit=crop&quality=95&format=auto","v2","TEDDY BEAR ㉾","পঁদাে়নুিং","BEAR","","2y","55","$361","37","0.54%","0.54%","2.38%","21.90%","$13K","$5.4M","","$0.05485","8"
"https://dexscreener.com/pulsechain/0x14cc6384b0ac70c250b67ec82b0fba5a10a5bd6f","#155","https://dd.dexscreener.com/ds-data/dexes/pulsex.png","https://cdn.dexscreener.com/cms/images/38f4b2e53fe707a17ea8171c01dc4d6ceda344b6a352fe248a151c8a80bd59b8?width=64&height=64&fit=crop&quality=95&format=auto","v1","PLSX","DAI","PulseX","","2y","168","$361","110","","0.84%","2.69%","5.21%","$1.9K","$1.82B","-","$0.01274","4"
"https://dexscreener.com/pulsechain/0x81f0ffee1470850013ca055ce10b4e287145554a","#156","https://dd.dexscreener.com/ds-data/dexes/9inch.png","https://cdn.dexscreener.com/cms/images/38f4b2e53fe707a17ea8171c01dc4d6ceda344b6a352fe248a151c8a80bd59b8?width=64&height=64&fit=crop&quality=95&format=auto","v3","PLSX","HEX","PulseX","","1y","2","$8","1","","","","-1.56%","$4.0K","$1.74B","-","$0.01222","4"
"https://dexscreener.com/pulsechain/0xc369cbda10bb554c78f7a73fcdce330a35875d6e","#157","https://dd.dexscreener.com/ds-data/dexes/pulsex.png","https://cdn.dexscreener.com/cms/images/52b3a9f79e1f3c4ba2d7cb05617e10d8b94d6a2ad7b9eb922c9852b458e3932b?width=64&height=64&fit=crop&quality=95&format=auto","v2","stETH","eHEX","Liquid staked Ether 2.0","$0.01179","1y","260","$764","188","","-0.60%","33.60%","36.40%","$1.1K","$2.2M","-","",""
"https://dexscreener.com/pulsechain/0x11ec254b48afb9e9316b65aa31fe006d8721e4aa","#158","https://dd.dexscreener.com/ds-data/dexes/pulsex.png","https://cdn.dexscreener.com/cms/images/52b3a9f79e1f3c4ba2d7cb05617e10d8b94d6a2ad7b9eb922c9852b458e3932b?width=64&height=64&fit=crop&quality=95&format=auto","v2","stETH","INC","Liquid staked Ether 2.0","$0.01154","1y","273","$1.0K","193","","-1.24%","31.48%","32.78%","$1.4K","$2.1M","-","",""
"https://dexscreener.com/pulsechain/0x6444456960c3f95b5b408f4d9e00220643f06f94","#159","https://dd.dexscreener.com/ds-data/dexes/pulsex.png","","v1","USDC","WPLS","USD Coin","$0.001078","2y","2,802","$55K","761","2.07%","2.66%","4.59%","25.38%","$89K","$65.6M","","",""
"https://dexscreener.com/pulsechain/0x9a34b4064b285bf75eca1c85b05c6ed45f2bed28","#160","https://dd.dexscreener.com/ds-data/dexes/pulsex.png","https://cdn.dexscreener.com/cms/images/38f4b2e53fe707a17ea8171c01dc4d6ceda344b6a352fe248a151c8a80bd59b8?width=64&height=64&fit=crop&quality=95&format=auto","v1","PLSX","USDC","PulseX","","2y","64","$94","44","1.19%","1.60%","4.62%","6.49%","$1.4K","$1.86B","","$0.01301","4"
"https://dexscreener.com/pulsechain/0xab2f0e51750354947365c3288568ccc7d6ab5d5a","#161","https://dd.dexscreener.com/ds-data/dexes/9mm.png","https://cdn.dexscreener.com/cms/images/fee5898b6b55c164acbdd278b414a239d61703a17422146881bba66a064d1a06?width=64&height=64&fit=crop&quality=95&format=auto","V3","MOONX","WPLS","MoonX","$0.06104","7mo","75","$1.7K","6","","0.84%","3.54%","6.56%","$73K","$22.5M","-","",""
